Sequence Number,Main Plant Group,Family Name (English),Family (Scientific),Genus Name (English),Genus (Scientific),English Plant Name,English Alias,Scientific Name,Author,Distribution,Habitat,Life Form,Height,Morphology,Halophyte Type,Ecological Type,Maximum Salinity,Salinity Data Source,Photosynthetic Pathway,Uses,Literature Sources
1084,III. Angiosperms,Amaranthaceae,Amaranthaceae,Anabasis,Anabasis,Anabasis pelliotii,,Anabasis pelliotii,Danguy,Distributed in Xinjiang; Central Asia also found.,Occurs in dry slopes.,"Deciduous subshrub, hemicryptophyte",Plant height 10–20 cm,"Woody stem tui contracted forming tubercles-shaped fleshy large stem base, densely covered pubescent; leaves linear, half round column-shaped, long 6–12 mm, wide 1–2 mm, densely covered papillae; tepals in fruit abaxial surface lower square with half yue shape wings projecting. Flowering and fruiting period August–October.",Euhalophyte (dilution halophyte),Xerophytic,"Unknown, 300 mM (estimated value)",0,C4,Ecological use,Supplemented based on flora records
1085,III. Angiosperms,Amaranthaceae,Amaranthaceae,Anabasis,Anabasis,Anabasis cretacea,,Anabasis cretacea,Pall.,Distributed in Xinjiang; Russia and Central Asia also found.,"Occurs in Gobi gravel desert, saline-alkaline soil desert or dry slopes.","Deciduous subshrub, hemicryptophyte",Plant height 5–15 cm,"Tubercles-shaped stem base very fleshy large, appearing cushion-forming. When year branches unbranched, with 5–8 internodes; leaves scale-like, without spiny-shaped pointed; tepals in fruit winged-shaped attached genus structure, wings membranous, reniform or suborbicular, pink; disc lobes linear. Flowering and fruiting period B–October.",Euhalophyte (dilution halophyte),Xerophytic,"Unknown, 300 mM (estimated value)",0,C4,Ecological use,"Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
1086,III. Angiosperms,Amaranthaceae,Amaranthaceae,Anabasis,Anabasis,Anabasis truncata,,Anabasis truncata,(Schrenk) Bunge,Distributed in Xinjiang; Russia and Central Asia also found.,Occurs in Gobi gravel desert or dry slopes.,"Deciduous subshrub, hemicryptophyte",Plant height 10–20 cm,"Tubercles-shaped stem base brown to dark brown, with dense soft hairs; when year branches with branched, with 8–12 internodes; leaves scale-like, without spiny-shaped pointed; wings broadly elliptic to suborbicular, slightly spreading; disc lobes linear. Flowering and fruiting period August–October.",Euhalophyte (dilution halophyte),Xerophytic,"Unknown, 300 mM (estimated value)",0,C4,Ecological use,Supplemented based on flora records
1087,III. Angiosperms,Amaranthaceae,Amaranthaceae,Anabasis,Anabasis,Anabasis eriopoda,,Anabasis eriopoda,(Schrenk) Paulsen,"Distributed in Xinjiang; Central Asia, Southwest Asia and Mongolia also found.","Occurs in desert, Gobi gravel desert or dry slopes.","Deciduous subshrub, hemicryptophyte",Plant height 15–30 cm,"Plant often appearing half globose, stem base densely covered white villous; stem with branched, blue green; leaves awl-shaped-shaped or three angles-shaped, apex with spiny-shaped pointed; tepals in fruit not winged-shaped attached genus structure, disc lobes half orbicular; bao fruit subglobose, yellow or cheng yellow. Flowering and fruiting period June–August.",Euhalophyte (dilution halophyte),Xerophytic,"Unknown, 300 mM (estimated value)",Maximum salinity not recorded in eHALOPH,C4,Ecological use,eHALOPH
1088,III. Angiosperms,Amaranthaceae,Amaranthaceae,Allmania,Allmania,Allmania nodiflora,,Allmania nodiflora,(L.) R.Br. ex Wight,Distributed in Guangxi and Hainan; Asia tropical regions also found.,Occurs in sandy seashores or open wild sandy land.,Annual herb,Plant height 10–50 cm,"Leaves alternate, obovate to linear, long 1.5–6.5 cm, glabrous; flower two -like, several flower forming cyme, again forming capitulum, filaments base connate forming cup-shaped, style filiform, stigma slightly 2-lobed; ovules or seeds 1, with accessory seed coat. Flowering period May–June, fruiting period July–August.",Salt-excluding halophyte,Mesophytic; psammophytic,"Unknown, 300 mM (estimated value)",0,C3,Ecological use,"Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
1089,III. Angiosperms,Amaranthaceae,Amaranthaceae,Trichuriella,Trichuriella,Trichuriella monsoniae,,Trichuriella monsoniae,(L.f.) Bennet,Distributed in Hainan; Southeast Asia and South Asia also found.,Occurs in seashore sandy land.,"Perennial herb, chamaephyte",Plant height 5–50 cm,"Plant from base branched, with white woolly hairs; leaves opposite or nearly whorled, awl-shaped-shaped acicular, wide not and 1 mm; spike terminal, tepals 4, spreading needle-like subulate; utricle apex transverse gai lobed, seeds ovate, dry when in zhong qi pairs surface with ke-shaped depressed. Flowering period April–August, fruiting period August–November.",Salt-excluding halophyte,Mesophytic; psammophytic,"Unknown, 300 mM (estimated value)",0,C3,Ecological use,"Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
1090,III. Angiosperms,Amaranthaceae,Amaranthaceae,Alternanthera,Alternanthera,Alternanthera littoralis,,Alternanthera littoralis,P.Beauv.,"Native to South America and Africa, China with introduced recorded.",Occurs in seashore sandy land.,"Perennial herb, chamaephyte",Plant height 3–20 cm,"Plant prostrate, glabrous; leaves opposite, sessile, oblong to ovate orbicular, succulent, apex obtuse or acute; inflorescence axillary, without stalk, nearly head-shaped, white to dao grass colored, tepals lanceolate, stamens 5, accessory reduced stamens lanceolate, margin fringed. Flower fruiting period winter to spring.",Salt-excluding halophyte,Mesophytic; psammophytic,"Unknown, 300 mM (estimated value)",0,C4,Ecological use,Supplemented based on field surveys
1091,III. Angiosperms,Amaranthaceae,Amaranthaceae,Alternanthera,Alternanthera,Alternanthera philoxeroides,,Alternanthera philoxeroides,(Mart.) Griseb.,"Native to South America, North China south of each ground widely naturalized.","Occurs in riversides, fields or wasteland.","Perennial herb, hemicryptophyte",Plant height 55–120 cm,"Plant creeping, stem tubular in hollow; leaves opposite, oblong-obovate, apex acute or rounded-obtuse; capitulum globose, solitary leaf axils, with long peduncle, tepals oblong, white, accessory reduced stamens apex lobed forming narrow strips. Flowering period May–October.",Neo-halophyte,Mesophytic; hygrophytic,"Unknown, 150 mM (estimated value)",0,C4,Naturalized invasive,Supplemented based on flora records
1092,III. Angiosperms,Amaranthaceae,Amaranthaceae,Philoxerus,Philoxerus,Philoxerus wrightii,,Philoxerus wrightii,Hook.f. ex Maxim.,Distributed in Taiwan; Japan also found.,Occurs in seashore rocks.,"Perennial herb, chamaephyte",Plant height 2–5 cm,"Plant tufted, appressed wo, succulent, glabrous; leaves opposite, inverted ovate-shaped spatulate, wide 2–3 mm; small capitulum terminal, spherical-shaped or round column-shaped, flower two -like, filaments base connate forming cup-shaped, free parts not lobed, without reduced stamens, style very short, stigma 2-lobed. Flowering period May–August.",Neo-halophyte,Mesophytic; lithophytic,"Unknown, 300 mM (estimated value)",0,C3,Ecological use,Supplemented based on flora records
1093,III. Angiosperms,Amaranthaceae,Amaranthaceae,Polycnemum,Polycnemum,Polycnemum arvense,,Polycnemum arvense,L.,"Distributed in Xinjiang; North Asia, Central Asia, West Asia and Europe also found.",Occurs in arid gravelly ground.,Annual herb,Plant height 6–10 cm,"Plant covered with rolled curved short-pubescent; leaves alternate, awl-shaped-shaped, long 3–9 mm; flower two -like, bracteole membranous, 5 tepals, membranous, in fruit without attached genus structure, stamens 3, stigma 2, style very short. Flowering and fruiting period July–August.",Neo-halophyte,Xerophytic,"Unknown, 150 mM (estimated value)",0,C3,Ecological use,Supplemented based on flora records
1094,III. Angiosperms,Amaranthaceae,Amaranthaceae,Beta,Beta,Beta vulgaris,,Beta vulgaris,L.,"Native to the Mediterranean region, throughout China cultivated.",Occurs in sandy soil.,"Biennial herb, geophyte",Plant height 50–100 cm,"Roots round conical-shaped to fusiform-shaped; leaves large dou basal, oblong, long 20–30 cm, with long petiole; flower 2–3 flowers clusters clustered, perianth lower part and ovary connate, connate parts in fruit enlarged thick and stiff becoming; embryo ring shape or nearly ring shape. Flowering period May–June, fruiting period July.",Salt-excluding halophyte,Mesophytic; lithophytic,500 mM; 300 mM (28 dS/m),Salinity tolerance value from database,C3,"Sugar crop, vegetable",eHALOPH
1095,III. Angiosperms,Amaranthaceae,Amaranthaceae,Agriophyllum,Agriophyllum,Agriophyllum squarrosum,,Agriophyllum squarrosum,(L.) Moq.,"Distributed in Northeast China, North China and Northwest China; North Asia, Central Asia and Asia Southwest China part also found.",Occurs in sand dunes or watersides sandy land.,Annual herb,Plant height 14–60 cm,"Plant young when densely covered with branched hairs; leaves lanceolate, apex needle-like spiny-shaped; inflorescence spike-shaped; fruit apex with fruit beak, fruit beak deeply lobed forming two flattened strips-shaped small beak, small beak apex outer side each with one small teeth projecting; seeds and pericarp free. Flowering and fruiting period August–October.",Salt-secreting halophyte,Xerophytic; psammophytic,"Unknown, 200 mM (estimated value)",0,C3,"Forage, sand stabilization, ecological use",Supplemented based on field surveys
1096,III. Angiosperms,Amaranthaceae,Amaranthaceae,Agriophyllum,Agriophyllum,Agriophyllum lateriflorum,,Agriophyllum lateriflorum,(Lam.) Moq.,Distributed in Xinjiang; Central Asia and Asia Southwest China part also found.,Occurs in sand dunes.,Annual herb,Plant height 10–40 cm,"Fruit beak in middle part above forming two needle-like small beak, in fruit beak base outer li each with one conspicuous, flattened narrow three angles-shaped lateral wings, usually small beak relatively lateral wings long or equal long, fruit upper part margin without crown-shaped wings margin. Flowering and fruiting period July–September.",Salt-secreting halophyte,Xerophytic; psammophytic,"Unknown, 200 mM (estimated value)",0,C3,Ecological use,Supplemented based on flora records
1097,III. Angiosperms,Amaranthaceae,Amaranthaceae,Agriophyllum,Agriophyllum,Agriophyllum minus,,Agriophyllum minus,Fisch. & C.A.Mey. ex Fenzl,"Distributed in Xinjiang; Central Asia, Asia Southwest China part and Afghanistan also found.",Occurs in sand dunes or river floodplains margins sandy land.,Annual herb,Plant height 5–40 cm,"Fruit beak only in its upper part divided forming 2 needle-like small beak, its middle part below outer side each with one conspicuous flattened narrow three angles-shaped lateral wings, usually small beak relatively two lateral wings short, fruit upper part margin with conspicuous crown-shaped wings margin. Flowering and fruiting period May–September.",Salt-secreting halophyte,Xerophytic; psammophytic,"Unknown, 300 mM (estimated value)",0,C3,Ecological use,Supplemented based on field surveys
1098,III. Angiosperms,Amaranthaceae,Amaranthaceae,Corispermum,Corispermum,Corispermum patelliforme,,Corispermum patelliforme,Iljin,"Distributed in Inner Mongolia, Ningxia, Gansu and Qinghai; Mongolia also found.",Occurs in desert sand dunes or river floodplains sandy land.,Annual herb,Plant height 10–45 cm,"Leaves wide, long elliptic or oblanceolate, long 1.2–4.5 cm, wide 0.5–1 cm, with 3 veins; spike round column-shaped; fruit disc-shaped-shaped, orbicular or suborbicular, glabrous, brown brown, with lustrous, fruit wings narrow, margin conspicuous toward adaxial surface reflexed. Flowering and fruiting period August–September.",Salt-secreting halophyte,Xerophytic; psammophytic,"Unknown, 300 mM (estimated value)",0,C3,Ecological use,Supplemented based on field surveys
1099,III. Angiosperms,Amaranthaceae,Amaranthaceae,Corispermum,Corispermum,Corispermum lehmannianum,,Corispermum lehmannianum,Bunge,"Distributed in Xinjiang; Afghanistan, Central Asia and Asia Southwest China part also found.",Occurs in sand dunes or sandy land.,Annual herb,Plant height 7–35 cm,"Plant broom-shaped-shaped; leaves oblanceolate, 1 vein; spike slender, bract consisting of leaves-shaped zhu gradually guo du to lanceolate and ovate; fruit broadly elliptic, long 2–3 mm, wide 1.5–2 mm, fruit beak coarse short, fruit wings conspicuous. Flowering and fruiting period May–July.",Salt-secreting halophyte,Xerophytic; psammophytic,"Unknown, 300 mM (estimated value)",0,C3,Ecological use,Supplemented based on field surveys
1100,III. Angiosperms,Amaranthaceae,Amaranthaceae,Corispermum,Corispermum,Corispermum declinatum,,Corispermum declinatum,Steph. ex Stev.,"Distributed in Northeast China, North China and Northwest China; also found in North Asia and north-central Asia.","Occurs in sandy wasteland, fields or river floodplains.",Annual herb,Plant height 15–50 cm,"Leaves linear, wide 2–3 mm, 1 vein; spike slender, long 5–15 cm, bracts narrow, wide 2–3 mm; fruit glabrous, obovate-oblong, long 3–4 mm, wide about 2 mm, fruit wings narrow or nearly absent. Flowering and fruiting period June–September.",Salt-secreting halophyte,Xerophytic; psammophytic,"Unknown, 200 mM (estimated value)",0,C3,Ecological use,Supplemented based on field surveys
1101,III. Angiosperms,Amaranthaceae,Amaranthaceae,Corispermum,Corispermum,Corispermum tylocarpum,,Corispermum tylocarpum,Hance,Distributed in North China and Northwest China; Mongolia eastern part also found.,"Occurs in sandy wasteland, fields or river floodplains.",Annual herb,Plant height 15–50 cm,Fruit covered with stellate hairs. Flowering and fruiting period June–September.,Salt-secreting halophyte,Xerophytic; psammophytic,"Unknown, 200 mM (estimated value)",0,C3,Ecological use,"Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
1102,III. Angiosperms,Amaranthaceae,Amaranthaceae,Corispermum,Corispermum,Corispermum iljinii,,Corispermum iljinii,Sukhor. & M.Zhang,Distributed in Inner Mongolia and Ningxia.,Occurs in desert sandy land.,Annual herb,Plant height 10–30 cm,"Leaves wide 3–5 mm; spike extending long, bract ovate-shaped, covering fruit; fruit ovate-shaped, long 2.7–3 mm, wide 1.6–1.8 mm, surface without stellate hairs, with wart-like projections, spreading borne papillae, apex rounded or acute, margin wingless. Flowering and fruiting period August–September.",Salt-secreting halophyte,Xerophytic; psammophytic,"Unknown, 200 mM (estimated value)",0,C3,Ecological use,Supplemented based on flora records
